Monitoring outputs/han_deberta_large_full/training_log.jsonl every 300s
Press Ctrl+C to stop

[20:03:35] No log entries yet. Process alive: True
[07:38:46] epoch=1 step=12450 loss=0.6801 | process=ALIVE
[07:43:46] epoch=1 step=12600 loss=0.6801 | process=ALIVE
[07:48:46] epoch=1 step=12800 loss=0.6801 | process=ALIVE
[07:53:46] epoch=1 step=12950 loss=0.68 | process=ALIVE
[07:58:47] epoch=1 step=13100 loss=0.6799 | process=ALIVE
[08:03:47] epoch=1 step=13300 loss=0.6798 | process=ALIVE
[08:08:47] epoch=1 step=13450 loss=0.6799 | process=ALIVE
[08:13:47] epoch=1 step=13650 loss=0.6799 | process=ALIVE
[08:18:47] epoch=1 step=13800 loss=0.6798 | process=ALIVE
[08:23:47] epoch=1 step=13950 loss=0.6799 | process=ALIVE
[08:28:47] epoch=1 step=14200 loss=0.6799 | process=ALIVE
[08:33:47] epoch=1 step=14450 loss=0.6797 | process=ALIVE
[08:38:47] epoch=1 step=14700 loss=0.6796 | process=ALIVE
[08:43:47] epoch=1 step=14900 loss=0.6795 | process=ALIVE
[08:48:47] epoch=1 step=15150 loss=0.6795 | process=ALIVE
[08:53:47] epoch=1 step=15400 loss=0.6795 | process=ALIVE
[08:58:47] epoch=1 step=15650 loss=0.6796 | process=ALIVE
[09:03:47] epoch=1 step=15900 loss=0.6795 | process=ALIVE
[09:08:48] epoch=1 step=16150 loss=0.6794 | process=ALIVE
[09:13:48] epoch=1 step=1 loss=0.6794 dev_acc=0.5270 | process=ALIVE
  -> Epoch 1 complete: loss=0.6794 dev_acc=0.5270
[09:18:48] epoch=2 step=250 loss=0.6765 | process=ALIVE
[09:23:48] epoch=2 step=500 loss=0.6733 | process=ALIVE
[09:28:48] epoch=2 step=700 loss=0.6739 | process=ALIVE
[09:33:48] epoch=2 step=900 loss=0.6751 | process=ALIVE
[09:38:48] epoch=2 step=1150 loss=0.6759 | process=ALIVE
[09:43:48] epoch=2 step=1350 loss=0.6749 | process=ALIVE
[09:48:48] epoch=2 step=1500 loss=0.675 | process=ALIVE
[09:53:48] epoch=2 step=1650 loss=0.674 | process=ALIVE
[09:58:48] epoch=2 step=1800 loss=0.6745 | process=ALIVE
[10:03:48] epoch=2 step=2000 loss=0.6748 | process=ALIVE
[10:08:48] epoch=2 step=2250 loss=0.6744 | process=ALIVE
[10:13:49] epoch=2 step=2450 loss=0.6752 | process=ALIVE
[10:18:49] epoch=2 step=2600 loss=0.6749 | process=ALIVE
[10:23:49] epoch=2 step=2750 loss=0.6761 | process=ALIVE
[10:28:49] epoch=2 step=2950 loss=0.676 | process=ALIVE
[10:33:49] epoch=2 step=3100 loss=0.6757 | process=ALIVE
[10:38:49] epoch=2 step=3300 loss=0.6752 | process=ALIVE
[10:43:49] epoch=2 step=3450 loss=0.6751 | process=ALIVE
[10:48:49] epoch=2 step=3600 loss=0.6754 | process=ALIVE
[10:53:49] epoch=2 step=3800 loss=0.6747 | process=ALIVE
[10:58:49] epoch=2 step=3950 loss=0.6749 | process=ALIVE
[11:03:49] epoch=2 step=4100 loss=0.6748 | process=ALIVE
[11:08:49] epoch=2 step=4300 loss=0.6751 | process=ALIVE
[11:13:49] epoch=2 step=4450 loss=0.6752 | process=ALIVE
[11:18:50] epoch=2 step=4650 loss=0.6751 | process=ALIVE
